vocabulary_id,OID,FHIR URI,vocabulary_name,vocabulary_reference,vocabulary_version,vocabulary_concept_id,Recommendation
NUCC,2.16.840.1.113883.11.19465,http://nucc.org/provider-taxonomy,National Uniform Claim Committee Health Care Provider Taxonomy Code Set (NUCC),http://www.nucc.org/index.php?option=com_content&view=article&id=107&Itemid=132,2018-06-26 NUCC,44819137,
Obs Period Type,,,OMOP Observation Period Type,OMOP generated,NULL,44819149,
Observation Type,,,OMOP Observation Type,OMOP generated,NULL,44819129,
OMOP Extension,,,OMOP Extension (OHDSI),OMOP generated,OMOP Extension 20210727,32758,
OSM,,,OpenStreetMap,"https://www.openstreetmap.org/copyright/en, https://wambachers-osm.website/boundaries/",OSM Release 2019-02-21,32541,
PHDSC,,,Source of Payment Typology (PHDSC),http://www.phdsc.org/standards/payer-typology-source.asp,Version 3.0,32473,
Plan,,,"Health Plan - contract to administer healthcare transactions by the payer, facilitated by the sponsor",OMOP generated,NULL,32471,
Plan Stop Reason,,,Plan Stop Reason - Reason for termination of the Health Plan,OMOP generated,NULL,32474,
Procedure Type,,,OMOP Procedure Occurrence Type,OMOP generated,NULL,44819128,
Race,2.16.840.1.113883.6.238,urn:oid:2.16.840.1.113883.6.238,Race and Ethnicity Code Set (USBC),http://www.cdc.gov/nchs/data/dvs/Race_Ethnicity_CodeSet.pdf,Version 1.0,44819109,
Relationship,,,OMOP Relationship,OMOP generated,NULL,44819235,
Revenue Code,,,UB04/CMS1450 Revenue Codes (CMS),http://www.mpca.net/?page=ERC_finance,2010 Release,44819133,
RxNorm,2.16.840.1.113883.6.88,http://www.nlm.nih.gov/research/umls/rxnorm,RxNorm (NLM),http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html,RxNorm 20210802,44819104,
RxNorm Extension,,,RxNorm Extension (OHDSI),OMOP generated,RxNorm Extension 2021-08-17,252,
SNOMED,2.16.840.1.113883.6.96,http://snomed.info/sct,Systematic Nomenclature of Medicine - Clinical Terms (IHTSDO),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html,2020-07-31 SNOMED CT International Edition; 2020-09-01 SNOMED CT US Edition; 2020-10-28 SNOMED CT UK Edition,44819097,
SPL,,,Structured Product Labeling (FDA),http://www.fda.gov/Drugs/InformationOnDrugs/ucm142438.htm,NDC 20210815,44819140,
Sponsor,,,Sponsor - institution or individual financing healthcare transactions,OMOP generated,NULL,32472,
Type Concept,,,OMOP Type Concept,OMOP generated,Type Concept 20210212,32808,
UB04 Point of Origin,,,UB04 Claim Source Inpatient Admission Code (CMS),https://www.resdac.org/cms-data/variables/Claim-Source-Inpatient-Admission-Code,NULL,32045,
UB04 Pri Typ of Adm,,,UB04 Claim Inpatient Admission Type Code (CMS),https://www.resdac.org/cms-data/variables/Claim-Inpatient-Admission-Type-Code,NULL,32046,
UB04 Pt dis status,,,UB04 Patient Discharge Status Code (CMS),https://www.resdac.org/cms-data/variables/patient-discharge-status-code,NULL,32047,
UB04 Typ bill,,,UB04 Type of Bill - Institutional (USHIK),https://ushik.ahrq.gov/ViewItemDetails?&system=apcd&itemKey=196987000,NULL,32044,
UCUM,2.16.840.1.113883.6.8,http://unitsofmeasure.org,Unified Code for Units of Measure (Regenstrief Institute),http://aurora.regenstrief.org/~ucum/ucum.html#section-Alphabetic-Index,Version 1.8.2,44819107,
US Census,,,United States Census Bureau,https://www.census.gov/geo/maps-data/data/tiger-cart-boundary.html,US Census 2017 Release,32570,
Visit,,,OMOP Visit,OMOP generated,NULL,44819119,
Visit Type,,,OMOP Visit Type,OMOP generated,NULL,44819150,
Vocabulary,,,OMOP Vocabulary,OMOP generated,NULL,44819232,
,2.16.840.1.113883.12.292,,CVX,,,,
